callsign,movement_type,event_time,operations_mode,runway_in_use,lvp_improvement_stop_bars
EZY905,landing,09:04:22,normal,27,no
EXS81LY,landing,09:07:07,normal,27,no
RYR7RE,takeoff,09:09:31,normal,27,no
RYR74OW,landing,09:09:46,normal,27,no
RYR5FN,takeoff,09:12:15,normal,27,no
RYR6JJ,landing,09:14:03,normal,27,no
EXS92RZ,landing,09:16:44,normal,27,no
EXS842,takeoff,09:19:09,normal,27,no
EZY500,landing,09:19:30,normal,27,no
WIZZ63QC,takeoff,09:23:11,normal,27,no
EXS17IJ,landing,09:23:36,normal,27,no
WIZZ3EP,landing,09:27:43,normal,27,no
RYR74OW,takeoff,09:27:43,normal,27,no
EXS81LY,takeoff,09:30:08,normal,27,no
EZY9YE,landing,09:30:24,normal,27,no
EZY399,takeoff,09:34:16,normal,27,no
EZY689,landing,09:34:34,normal,27,no
EXS319,takeoff,09:36:58,normal,27,no
EZY996,landing,09:38:42,normal,27,no
EZY2PD,takeoff,09:41:06,normal,27,no
EZY29VB,landing,09:41:26,normal,27,no
EZY905,takeoff,09:43:50,normal,27,no
WIZZ322,landing,09:45:34,normal,27,no
RYR6JJ,takeoff,09:47:58,normal,27,no
EZY85YT,landing,09:48:19,normal,27,no
EXS8UY,takeoff,09:50:43,normal,27,no
